month,production
2010-12-01,125805557
2010-11-01,158631950
2010-10-01,178021661
2010-09-01,114892009
2010-08-01,16424524
2010-07-01,6015976
2010-06-01,5763091
2010-05-01,5581692
2010-04-01,8530232
2010-03-01,12872285
2010-02-01,13792900
2010-01-01,36059716
2009-12-01,120399700
2009-11-01,158039522
2009-10-01,176585391
2009-09-01,150798174
2009-08-01,36059082
2009-07-01,5482013
2009-06-01,5708949
2009-05-01,5789460
2009-04-01,8165700
2009-03-01,7220512
2009-02-01,10750306
2009-01-01,27996662
2008-12-01,102739830
2008-11-01,158373716
2008-10-01,150467482
2008-09-01,158373716
2008-08-01,26532492
2008-07-01,4962264
2008-06-01,4519979
2008-05-01,9133287
2008-04-01,8947688
2008-03-01,11207867
2008-02-01,19027360
2008-01-01,33986436
2007-12-01,77143784
2007-11-01,98990293
2007-10-01,159022184
2007-09-01,166612752
2007-08-01,50234295
2007-07-01,4452068
2007-06-01,5386396
2007-05-01,6290215
2007-04-01,7376878
2007-03-01,11542697
2007-02-01,15120636
2007-01-01,36698357
